Name of Scholarship,Deadline,Number of Awards,Maximum Amount,GPA,Affiliation,Age,College Program?,Category,Lic Type 1,Lic Type 2,Lic Type 3,Lic Type 4,Lic Type 5,Lic Type 6,Lic Type 7,Lic Type 8,Lic Type 9,Lic Type 10,,Female / Every / Minority ,Location,Link 
Leroy Homer Jr. Memorial Scholarship,January 31,3,5000,,,Any,No College Program allowed,Flight Training,,Private,,,,,,,,,,Every,Any,https://leroywhomerjr.org/scholarships/
Archie C. Towle Aviation Scholarship,February 1,1,1500,,,Any,Any,Flight Training,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructtor,,,,,Every,"50 miles of Wasau, WI",https://cfoncw.org/grants-scholarships/scholarships/; https://cfoncw.org/wp-content/uploads/2025/10/Schol_NCW_6Archie-Towle.pdf
Harry E. Arcamuzi Aviation Scholarship,December 19,1,500,,,Any,Any,Flight Training,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructtor,,,,,Every,Any inner city student,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Jack Burnham Fund,December 19,1,Unknown,>2.5,Preference - Jackson Hole High School in WY Students,Any,"4-Year College, University or Post-Secondary School in Aviation Field (Aeronautics, Engineering, Pilot Training","Flight Training, Engineering, Aeronautics",Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsment,Aerobatic Instruction,Tailwheel Endorsemtn,Every,"Any (Jackson, WY Preference)",https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Corporate Aircraft Association Scholarship,December 19,1,Unknown,,Demonstrated Financial Need & Supporting Own Education & Completed Private Pilot Certificate,Any,Post-Secondary School - Business Aviation ,Flight Training,,,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsment,Aerobatic Instruction,Tailwheel Endorsemtn,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Clay Lacy Foundation Scholarship,December 19,1,Unknown,,University of North Dakota & EAA Air Academy Counselor ,Any,University of North Dakota Only,College Program,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsment,Aerobatic Instruction,Tailwheel Endorsemtn,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Timothy Peterson Education Scholarship,December 19,1,Unknown,,EAA Chapter Student,High School,N/A,Flight Training or Career Development,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsment,Aerobatic Instruction,Tailwheel Endorsemtn,Every,An,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Lee and Cookie Perrizo Scholarship,December 19,1,Unknown,,Preferably from Wisconsin,Any,Post-Secondary School - Aviation,College Program,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/a,N/A,N/A,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Robert F. Pauley Scholarship in Historic Aviation Research,December 19,1,Unknown,,Preference - Western Michigan University Students,Any,Any program in Historical Aviation Research,College Program,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/a,N/A,N/A,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Herbert L. Cox Memorial Scholarship,December 19,1,Unknown,,Demonstrated Financial Need & Preference to Students who work during school year,Any,College or University - Aviation Program,College Program,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/a,N/A,N/A,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
John Sandberg A&P Scholarship Fund,December 19,1,Unknown,,Volunteer Hours in Aviation,>=19,A&P Program,A&P Program,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/a,N/A,N/A,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Chaudoin Scholarship,December 19,1,Unknown,>3.0,,Any,College or University - Aviation Program,College Program,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/a,N/A,N/A,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Aviation Tax Consultants Scholarship,December 19,1,Unknown,,Demonstrated Financial Need,Any,"Non-Pilot Aviation Career (ATC, Aviation Business, Management, or Administration)",Non-Pilot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/a,N/A,N/A,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Michael Blume Memorial Scholarship,December 19,1,1000,,,Any,Aviation Program (Collegiate),Flight Training,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructtor,,,,,Every,"Minnesota, Wisconsin, North Dakota, South Dakota",https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
H.P. Bud Milligan Aviation Scholarship,December 19,1,500,,,Any,Aviation Program (Any),Flight Training,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructtor,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
David Mineck Memorial Scholarship,December 19,1,500,,,Any,Engineering or Aviation Program (Collegiate),Flight Training,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructtor,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Payzer Scholarship,December 19,1,5000,,,Any,Tech or Engineering Program (Collegiate),Engineering,,N/A,,N/A,N/A,N/A,N/A,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Pratt & Whitney Canada Women in Engineering Scholarship,December 19,1,10000,,,Any,N/A,Not Available,,N/A,,N/A,N/A,N/A,N/A,,,,,Female,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Ray Aviation Scholarship,October 31,Multiple,Unknown,,Contact Local EAA Chapter for Application Process,Any,Unknown,Flight Training,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Every,Any,https://www.eaa.org/eaa/eaa-chapters/eaa-chapter-resources/chapter-programs-and-activities/ray-aviation-scholarship-fund
David Alan Quick Scholarship,December 19,1,500,,,Any,Engineering Program (Collegiate),Engineering,,N/A,,N/A,N/A,N/A,N/A,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/post-secondary-scholarships
Richard L. Taylor Flight Training Scholarship,March 25,1,1500,,,Any,High School or Aviation Program (Collegiate),Flight Training,,,,Instrument,Commercial,Multi-Engine Rating,Certified Flight instructor,,,,,Every,Any,https://www.nata.aero/scholarships/richard-l-taylor-flight-training-scholarship
Adapt to Fly Scholarship,December 19,1,Unknown,,,Any,N/A,Flight Training,,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Person with a Disability defined by the Americans with Disabilities Act (ADA),Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Air Academy Alumni Scholarship,December 19,1,Unknown,,Must have been an alumni or EAA Air Academy as a staffer or camper,Any,Any,Flight Training,Solo,Private,,,,,,,,,,Every,,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Gary and Mary Baker Flight Training Scholarship,December 19,1,Unknown,,"EAA Member - Preference to Young Eagle, Young Eagle Pilots, EAA Chapter Involvement",Any,Any,Flight Training,,,,,,Multi-Engine Rating,,High Performance Endorsement ,Complex Endorsement,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Ellowyn Becker Flight Training Scholarship,December 19,1,Unknown,,"Annual household income <$50,000",Less than 21 at time of award,Any - Career Goal STEM or Aviation,Flight Training,,Private,,,,,,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
John S. Bradbury Memorial Scholarship,December 19,1,Unknown,,EAA Young Eagle,16 - 17,N/A,Flight Training,Solo,Private,,,,,,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Chapter 439 Vliegend Scholarship,December 19,1,Unknown,,Upper Peninsula of MI or Northeast Wisconsin,16 - 22 - Private License; Any ofther Rating <35,Any,Flight Training,,Private,,Instrument,,Multi-Engine Rating,,,,,,Every ,Upper Peninsula MI or Northeast WI,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Citation Max Scholarship,December 19,1,Unknown,,Demonstrated Financial Need,16 - 25,Any,Flight Training,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Tex Edwards Scholarship,December 19,1,Unknown,,,Any,Any,Flight Training,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Eagles Aerobatic Fund,December 19,1,Unknown,,EAA Young Eagle,Any,Any,Flight Training,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
"Joey Ermel ""Do Your Impeccable Best"" Tailwheel Endorsement Scholarship",December 19,1,Unknown,,"Preference - EAA Young Eagle, EAA Young Eagle Pilots, EAA Chapter Involvement & 50+ Flight Hours",Any,Any,Flight Training,,,,,,,,,,,Tailwheel Endorsement,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Noah Favaregh Flight Training Scholarship,December 19,1,Unknown,,,Any,Any,Flight Training,,Private,,,,,,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Friends of Pete Bunce Flight Training Scholarship,December 19,1,Unknown,,Preference to WI Residents (Former Okay) with Financial Needs,Any,Any,Flight Training,,Private,,Instrument,,Multi-Engine Rating,,,,,,Every,Wisconsin Resident (Current or Former),https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Harrison Ford Scholarship,December 19,1,Unknown,,EAA Young Eagle with Demonstrated Financial Need,Any,Any,Flight Training / Education,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Alex Foss Memorial Scholarship,December 19,1,Unknown,,"First Generation Aviator w/o parents who are pilots - Must be employed, paid internship or using student loans",Any,Professional Flight or Commercial Aviaiton Degree Goals,Flight Training,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Jim and Marge Gorman Scholarship Fund,December 19,1,Unknown,,US Citizen Only,Any,Any,Flight Training,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
"Florence ""Coffy"" Gregory Endowment Fund",December 19,1,Unknown,,,Any,Any,Flight Training,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Female,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
